Id_code,Year,deaths,injured,road_acc
1001,2021,0,2,2
1001,2022,0,5,3
1001,2023,1,6,3
1001,2024,0,5,2
1002,2021,0,9,6
1002,2022,0,5,4
1002,2023,1,10,7
1002,2024,0,9,5
1003,2021,0,0,0
1003,2022,0,0,0
1003,2023,0,1,1
1003,2024,0,2,1
1004,2021,0,2,2
1004,2022,0,4,4
1004,2023,0,4,2
1004,2024,0,9,4
1006,2021,0,4,3
1006,2022,1,8,8
1006,2023,0,4,2
1006,2024,0,2,2
1007,2021,0,0,0
1007,2022,0,0,0
1007,2023,0,2,1
1008,2021,0,46,30
1008,2022,0,31,23
1008,2023,1,36,27
1008,2024,0,24,20
1009,2021,0,2,2
1009,2022,0,3,2
1009,2023,0,4,2
1009,2024,0,3,2
1010,2021,0,0,0
1010,2022,0,0,0
1010,2023,0,0,0
1010,2024,0,1,1
1011,2021,0,0,0
1011,2022,0,0,0
1011,2023,0,0,0
1012,2021,0,2,1
1012,2022,1,6,3
1012,2023,0,1,1
1012,2024,0,1,1
1013,2021,0,32,20
1013,2022,0,50,39
1013,2023,1,54,40
1013,2024,1,47,34
1014,2021,0,0,0
1014,2022,0,1,1
1014,2023,0,0,0
1014,2024,0,3,2
1015,2021,0,2,2
1015,2022,0,2,2
1015,2023,0,3,2
1015,2024,0,2,2
1016,2021,0,3,2
1016,2022,0,3,3
1016,2023,0,4,4
1016,2024,1,11,7
1017,2021,0,4,3
1017,2022,0,7,4
1017,2023,2,1,1
1017,2024,0,3,1
1018,2021,0,2,2
1018,2022,0,4,3
1018,2023,0,2,2
1018,2024,0,6,3
1019,2021,0,0,0
1019,2022,0,1,1
1019,2023,0,0,0
1020,2021,1,5,3
1020,2022,0,3,3
1020,2023,0,6,1
1020,2024,0,1,1
1021,2021,0,1,1
1021,2022,1,1,2
1021,2023,0,2,1
1022,2021,0,5,4
1022,2022,0,3,2
1022,2023,0,8,6
1022,2024,0,7,7
1023,2021,0,0,0
1023,2022,0,0,0
1023,2023,1,1,1
1024,2021,1,38,29
1024,2022,0,43,31
1024,2023,0,22,21
1024,2024,0,40,33
1025,2021,0,4,4
1025,2022,0,6,2
1025,2023,0,3,2
1025,2024,0,2,1
1026,2021,0,0,0
1026,2022,0,0,0
1026,2023,0,0,0
