Id_code,Codice Ripartizione geografica,Codice Regione,Codice Comune (alfanumerico),Codice Comune (numerico),Ripartizione Geografica,Regione,Sigla automobilistica,Comune,Capoluogo di Provincia/Uts,Capoluogo di Regione,Popolazione legale,Superficie (Kmq),Year,deaths,injured,road_acc,road_acc_per_km2,road_acc_per_1000_inhabitants
1001,1,1,1001,1001,Nord-Ovest,Piemonte,TO,Agliè,No,No,2644.0,13.1462,2021,0,2,2,0.15213521778156425,0.7564296520423601
1001,1,1,1001,1001,Nord-Ovest,Piemonte,TO,Agliè,No,No,2644.0,13.1462,2022,0,5,3,0.22820282667234637,1.13464447806354
1001,1,1,1001,1001,Nord-Ovest,Piemonte,TO,Agliè,No,No,2644.0,13.1462,2023,1,6,3,0.22820282667234637,1.13464447806354
1001,1,1,1001,1001,Nord-Ovest,Piemonte,TO,Agliè,No,No,2644.0,13.1462,2024,0,5,2,0.15213521778156425,0.7564296520423601
1002,1,1,1002,1002,Nord-Ovest,Piemonte,TO,Airasca,No,No,3819.0,15.7393,2021,0,9,6,0.38121136264001576,1.5710919088766695
1002,1,1,1002,1002,Nord-Ovest,Piemonte,TO,Airasca,No,No,3819.0,15.7393,2022,0,5,4,0.2541409084266772,1.0473946059177797
1002,1,1,1002,1002,Nord-Ovest,Piemonte,TO,Airasca,No,No,3819.0,15.7393,2023,1,10,7,0.4447465897466851,1.832940560356114
1002,1,1,1002,1002,Nord-Ovest,Piemonte,TO,Airasca,No,No,3819.0,15.7393,2024,0,9,5,0.31767613553334645,1.3092432573972246
1003,1,1,1003,1003,Nord-Ovest,Piemonte,TO,Ala di Stura,No,No,462.0,46.3315,2021,0,0,0,0.0,0.0
1003,1,1,1003,1003,Nord-Ovest,Piemonte,TO,Ala di Stura,No,No,462.0,46.3315,2022,0,0,0,0.0,0.0
1003,1,1,1003,1003,Nord-Ovest,Piemonte,TO,Ala di Stura,No,No,462.0,46.3315,2023,0,1,1,0.02158358783980661,2.1645021645021645
1003,1,1,1003,1003,Nord-Ovest,Piemonte,TO,Ala di Stura,No,No,462.0,46.3315,2024,0,2,1,0.02158358783980661,2.1645021645021645
1004,1,1,1004,1004,Nord-Ovest,Piemonte,TO,Albiano d'Ivrea,No,No,1791.0,11.7314,2021,0,2,2,0.1704826363434884,1.1166945840312674
1004,1,1,1004,1004,Nord-Ovest,Piemonte,TO,Albiano d'Ivrea,No,No,1791.0,11.7314,2022,0,4,4,0.3409652726869768,2.233389168062535
1004,1,1,1004,1004,Nord-Ovest,Piemonte,TO,Albiano d'Ivrea,No,No,1791.0,11.7314,2023,0,4,2,0.1704826363434884,1.1166945840312674
1004,1,1,1004,1004,Nord-Ovest,Piemonte,TO,Albiano d'Ivrea,No,No,1791.0,11.7314,2024,0,9,4,0.3409652726869768,2.233389168062535
